win_outcome,count
4 wickets,62
29 runs,5
3 runs,8
8 runs,7
85 runs,2
28 runs,5
42 runs,3
60 runs,3
50 runs,4
102 runs,1
52 runs,1
81 runs,2
110 runs,1
6 wickets,127
7 wickets,122
10 runs,18
12 runs,16
24 runs,11
27 runs,10
31 runs,7
48 runs,5
58 runs,3
62 runs,3
1 wickets,5
64 runs,1
83 runs,1
13 runs,14
9 runs,11
4 runs,16
40 runs,3
32 runs,5
74 runs,1
77 runs,2
97 runs,3
,23
10 wickets,17
92 runs,2
16 runs,9
2 wickets,11
55 runs,5
35 runs,6
111 runs,1
82 runs,4
44 runs,5
30 runs,3
93 runs,1
72 runs,2
80 runs,3
56 runs,2
112 runs,1
140 runs,1
5 wickets,102
5 runs,12
23 runs,13
19 runs,9
39 runs,5
67 runs,3
21 runs,7
86 runs,3
130 runs,1
15 runs,13
71 runs,2
49 runs,2
69 runs,2
9 wickets,50
6 runs,13
8 wickets,87
41 runs,5
25 runs,9
75 runs,2
57 runs,4
26 runs,4
20 runs,14
46 runs,5
47 runs,2
144 runs,1
88 runs,1
33 runs,6
3 wickets,32
66 runs,1
18 runs,15
1 runs,15
11 runs,10
38 runs,7
78 runs,3
2 runs,13
34 runs,9
36 runs,4
17 runs,9
76 runs,1
43 runs,2
7 runs,15
61 runs,2
118 runs,1
54 runs,5
91 runs,1
100 runs,1
45 runs,6
65 runs,2
14 runs,17
105 runs,1
53 runs,1
98 runs,2
63 runs,3
37 runs,12
22 runs,9
59 runs,4
87 runs,1
138 runs,1
51 runs,1
146 runs,1
106 runs,1
