year,total_runs,total_wickets,matches,sixes,fours,avg
2008,16809,690,58,623,1703,289.8
2009,15376,698,57,508,1321,269.8
2010,17754,725,60,587,1709,295.9
2011,19928,813,73,639,1916,273.0
2012,21323,858,74,733,1911,288.1
2013,21487,912,76,681,2054,282.7
2014,17943,674,60,715,1563,299.1
2015,17427,691,59,692,1611,295.4
2016,17962,666,60,639,1633,299.4
2017,17920,711,59,706,1612,303.7
2018,19098,722,60,872,1652,318.3
2019,18607,685,60,786,1655,310.1
2020,18566,677,60,736,1589,309.4
2021,17727,717,60,687,1551,295.5
2022,23052,912,74,1062,2020,311.5
2023,24428,916,74,1124,2175,330.1
2024,24657,883,71,1261,2175,347.3
2025,25309,873,74,1302,2263,342.0
