batting_team,runs,matches,RPM
Mumbai Indians,42748,277,154.3
Chennai Super Kings,39054,251,155.6
Kolkata Knight Riders,39035,264,147.9
Royal Challengers Bangalore,35810,240,149.2
Rajasthan Royals,35580,234,152.1
Sunrisers Hyderabad,30019,195,153.9
Kings XI Punjab,28541,190,150.2
Delhi Daredevils,23022,161,143.0
Delhi Capitals,16628,105,158.4
Punjab Kings,12162,74,164.4
Deccan Chargers,10885,75,145.1
Gujarat Titans,10123,60,168.7
Lucknow Super Giants,9679,58,166.9
Pune Warriors,6040,45,134.2
Royal Challengers Bengaluru,5328,30,177.6
Gujarat Lions,4629,30,154.3
Rising Pune Supergiant,2370,16,148.1
Rising Pune Supergiants,1962,14,140.1
Kochi Tuskers Kerala,1758,14,125.6
