year,batting_team,runs_batter
2008,Kings XI Punjab,2340
2008,Mumbai Indians,1897
2008,Royal Challengers Bangalore,1865
2008,Deccan Chargers,2117
2008,Chennai Super Kings,2365
2008,Kolkata Knight Riders,1801
2008,Rajasthan Royals,2424
2008,Delhi Daredevils,2000
2009,Royal Challengers Bangalore,2166
2009,Rajasthan Royals,1610
2009,Chennai Super Kings,2084
2009,Mumbai Indians,1766
2009,Kings XI Punjab,1768
2009,Delhi Daredevils,2021
2009,Deccan Chargers,2283
2009,Kolkata Knight Riders,1678
2010,Delhi Daredevils,2028
2010,Kings XI Punjab,2165
2010,Deccan Chargers,2244
2010,Mumbai Indians,2553
2010,Kolkata Knight Riders,1978
2010,Rajasthan Royals,2072
2010,Royal Challengers Bangalore,2272
2010,Chennai Super Kings,2442
2011,Chennai Super Kings,2461
2011,Kochi Tuskers Kerala,1758
2011,Rajasthan Royals,1601
2011,Pune Warriors,1674
2011,Deccan Chargers,2039
2011,Royal Challengers Bangalore,2325
2011,Kings XI Punjab,2080
2011,Mumbai Indians,2143
2011,Delhi Daredevils,1942
2011,Kolkata Knight Riders,1905
2012,Kolkata Knight Riders,2356
2012,Delhi Daredevils,2502
2012,Kings XI Punjab,2286
2012,Royal Challengers Bangalore,2351
2012,Pune Warriors,2183
2012,Chennai Super Kings,2717
2012,Rajasthan Royals,2393
2012,Deccan Chargers,2202
2012,Mumbai Indians,2333
2013,Sunrisers Hyderabad,2197
2013,Pune Warriors,2183
2013,Rajasthan Royals,2571
2013,Mumbai Indians,2845
2013,Delhi Daredevils,2114
2013,Royal Challengers Bangalore,2460
2013,Chennai Super Kings,2671
2013,Kings XI Punjab,2312
2013,Kolkata Knight Riders,2134
2014,Mumbai Indians,2235
2014,Royal Challengers Bangalore,1992
2014,Kings XI Punjab,2824
2014,Delhi Daredevils,1978
2014,Rajasthan Royals,2070
2014,Kolkata Knight Riders,2382
2014,Sunrisers Hyderabad,1943
2014,Chennai Super Kings,2519
2015,Rajasthan Royals,2043
2015,Mumbai Indians,2611
2015,Delhi Daredevils,2061
2015,Sunrisers Hyderabad,2117
2015,Kings XI Punjab,1902
2015,Royal Challengers Bangalore,2190
2015,Kolkata Knight Riders,1939
2015,Chennai Super Kings,2564
2016,Kolkata Knight Riders,2133
2016,Delhi Daredevils,1995
2016,Royal Challengers Bangalore,2863
2016,Mumbai Indians,2091
2016,Sunrisers Hyderabad,2549
2016,Rising Pune Supergiants,1962
2016,Kings XI Punjab,2051
2016,Gujarat Lions,2318
2017,Sunrisers Hyderabad,2262
2017,Delhi Daredevils,2131
2017,Mumbai Indians,2633
2017,Royal Challengers Bangalore,1760
2017,Kolkata Knight Riders,2354
2017,Kings XI Punjab,2099
2017,Rising Pune Supergiant,2370
2017,Gujarat Lions,2311
2018,Chennai Super Kings,2698
2018,Delhi Daredevils,2250
2018,Royal Challengers Bangalore,2240
2018,Sunrisers Hyderabad,2600
2018,Rajasthan Royals,2276
2018,Kings XI Punjab,2124
2018,Kolkata Knight Riders,2655
2018,Mumbai Indians,2255
2019,Sunrisers Hyderabad,2353
2019,Kings XI Punjab,2326
2019,Chennai Super Kings,2346
2019,Kolkata Knight Riders,2359
2019,Rajasthan Royals,2103
2019,Royal Challengers Bangalore,2129
2019,Delhi Capitals,2428
2019,Mumbai Indians,2563
2020,Chennai Super Kings,2095
2020,Delhi Capitals,2658
2020,Royal Challengers Bangalore,2169
2020,Mumbai Indians,2662
2020,Sunrisers Hyderabad,2397
2020,Kolkata Knight Riders,2124
2020,Kings XI Punjab,2264
2020,Rajasthan Royals,2197
2021,Royal Challengers Bangalore,2181
2021,Mumbai Indians,2016
2021,Delhi Capitals,2387
2021,Chennai Super Kings,2607
2021,Kolkata Knight Riders,2423
2021,Punjab Kings,2061
2021,Rajasthan Royals,2087
2021,Sunrisers Hyderabad,1965
2022,Chennai Super Kings,2165
2022,Royal Challengers Bangalore,2454
2022,Gujarat Titans,2517
2022,Lucknow Super Giants,2405
2022,Sunrisers Hyderabad,2084
2022,Mumbai Indians,2100
2022,Delhi Capitals,2218
2022,Rajasthan Royals,2807
2022,Kolkata Knight Riders,2109
2022,Punjab Kings,2193
2023,Rajasthan Royals,2287
2023,Chennai Super Kings,2600
2023,Gujarat Titans,2906
2023,Mumbai Indians,2821
2023,Royal Challengers Bangalore,2393
2023,Kolkata Knight Riders,2338
2023,Lucknow Super Giants,2326
2023,Punjab Kings,2416
2023,Delhi Capitals,2073
2023,Sunrisers Hyderabad,2268
2024,Sunrisers Hyderabad,2906
2024,Chennai Super Kings,2405
2024,Gujarat Titans,1934
2024,Rajasthan Royals,2533
2024,Lucknow Super Giants,2350
2024,Kolkata Knight Riders,2481
2024,Mumbai Indians,2422
2024,Royal Challengers Bengaluru,2789
2024,Delhi Capitals,2465
2024,Punjab Kings,2372
2025,Royal Challengers Bengaluru,2539
2025,Kolkata Knight Riders,1886
2025,Delhi Capitals,2399
2025,Chennai Super Kings,2315
2025,Gujarat Titans,2766
2025,Punjab Kings,3120
2025,Mumbai Indians,2802
2025,Sunrisers Hyderabad,2378
2025,Rajasthan Royals,2506
2025,Lucknow Super Giants,2598
