batter,runs,balls,SR
V Kohli,8671,6505,133.3
RG Sharma,7048,5317,132.6
S Dhawan,6769,5304,127.6
DA Warner,6567,4680,140.3
SK Raina,5536,4025,137.5
MS Dhoni,5439,3935,138.2
KL Rahul,5235,3836,136.5
AB de Villiers,5181,3400,152.4
AM Rahane,5032,4021,125.1
CH Gayle,4997,3331,150.0
RV Uthappa,4954,3784,130.9
KD Karthik,4843,3570,135.7
F du Plessis,4773,3506,136.1
SV Samson,4704,3368,139.7
AT Rayudu,4348,3391,128.2
SA Yadav,4311,2889,149.2
G Gambhir,4217,3394,124.2
JC Buttler,4121,2749,149.9
MK Pandey,3951,3239,122.0
SR Watson,3880,2801,138.5
Shubman Gill,3866,2774,139.4
SS Iyer,3735,2792,133.8
RR Pant,3566,2407,148.2
KA Pollard,3437,2315,148.5
Q de Kock,3312,2465,134.4
RA Jadeja,3260,2489,131.0
YK Pathan,3222,2233,144.3
DA Miller,3077,2212,139.1
Ishan Kishan,2998,2169,138.2
WP Saha,2934,2296,127.8
BB McCullum,2882,2176,132.4
N Rana,2853,2079,137.2
PA Patel,2848,2350,121.2
GJ Maxwell,2820,1810,155.8
MA Agarwal,2764,2053,134.6
HH Pandya,2758,1866,147.8
Yuvraj Singh,2754,2115,130.2
V Sehwag,2728,1740,156.8
AD Russell,2655,1508,176.1
M Vijay,2619,2147,122.0
RD Gaikwad,2502,1811,138.2
SPD Smith,2495,1931,129.2
SE Marsh,2489,1866,133.4
JH Kallis,2427,2213,109.7
DR Smith,2385,1755,135.9
SR Tendulkar,2334,1941,120.2
N Pooran,2293,1355,169.2
RA Tripathi,2291,1655,138.4
R Dravid,2174,1878,115.8
YBK Jaiswal,2166,1412,153.4
