bowler,wickets,runs_given,balls,Economy
YS Chahal,229,5032,3791,7.96
B Kumar,213,5412,4222,7.69
SP Narine,212,4933,4351,6.8
DJ Bravo,207,4360,3120,8.38
R Ashwin,205,5652,4710,7.2
JJ Bumrah,203,4059,3359,7.25
PP Chawla,201,5108,3850,7.96
SL Malinga,188,3366,2827,7.14
A Mishra,183,4145,3371,7.38
RA Jadeja,179,5188,4056,7.67
HV Patel,168,3579,2424,8.86
Rashid Khan,166,3781,3202,7.08
UT Yadav,163,4332,3056,8.51
Sandeep Sharma,163,4083,3045,8.05
Harbhajan Singh,161,4030,3416,7.08
TA Boult,151,3762,2687,8.4
Mohammed Shami,150,3757,2614,8.62
MM Sharma,149,3513,2403,8.77
AR Patel,137,4077,3321,7.37
AD Russell,133,2863,1806,9.51
K Rabada,128,2741,1911,8.61
R Vinay Kumar,127,2986,2127,8.42
A Nehra,121,2495,1908,7.85
JD Unadkat,121,3364,2274,8.88
Z Khan,119,2782,2200,7.59
SN Thakur,115,3244,2070,9.4
Mohammed Siraj,112,3349,2300,8.74
CH Morris,107,2309,1726,8.03
SR Watson,107,2682,2029,7.93
Kuldeep Yadav,106,2778,2064,8.08
Arshdeep Singh,106,2570,1714,9.0
DW Steyn,105,2523,2182,6.94
P Kumar,102,3251,2524,7.73
CV Varun,102,2385,1888,7.58
I Sharma,100,3377,2419,8.38
RP Singh,100,2338,1775,7.9
IK Pathan,99,2649,2043,7.78
PP Ojha,99,2332,1899,7.37
KH Pandya,97,2985,2398,7.47
JA Morkel,96,2359,1723,8.21
Avesh Khan,94,2461,1619,9.12
KK Ahmed,94,2328,1556,8.98
DL Chahar,91,2597,1915,8.14
DS Kulkarni,91,2474,1787,8.31
KV Sharma,89,2215,1585,8.38
M Morkel,88,2089,1629,7.69
Imran Tahir,86,1703,1316,7.76
L Balaji,85,2028,1512,8.05
HH Pandya,84,2492,1628,9.18
AB Dinda,82,2073,1516,8.2
